category,question,answer
수하물,기내 휴대 수하물 규정이 어떻게 되나요?,"10kg 이하 1개, 삼면의 합이 115cm 이내 (가로 40cm, 세로 20cm, 높이 55cm). 추가로 노트북 컴퓨터, 서류가방, 핸드백 중 1개는 무료로 휴대 가능합니다."
수하물,무료 위탁 수하물 허용량은 얼마인가요?,"국내선: 15kg / 동남아, 일본, 중국, 홍콩, 마카오, 대만: 15kg (특가운임은 무료 수하물 없음) / 괌: 1개 (23kg 이하)"
수하물,초과 수하물 요금은 얼마인가요?,"국내선: kg당 2,000원 / 국제선: 노선별로 상이함 (Zone 1~3 구분)"
반려동물,반려동물 동반 규정이 어떻게 되나요?,"생후 8주 이상의 개, 고양이, 새. 기내 반입 시 운송 용기 포함 7kg 이하"
기내식,기내식 서비스 신청은 어떻게 하나요?,"진에어는 사전 주문 기내식 서비스를 운영하고 있습니다. 출발 72시간 전까지 신청 가능하며, 메뉴 확인 및 예약은 홈페이지에서 가능합니다. Link: https://www.jinair.com/addService/preordermeal/all"
체크인,웹/모바일 체크인은 출발 몇시간 전부터 가능한가요?,항공기 출발시간 기준 24시간 전 부터 가능합니다.
기내 Wi-Fi,기내 Wi-Fi는 모든 기종에서 사용가능한가요?,"현재 보잉 737-8 기종으로 운항하는 국제선에서 서비스 제공중입니다.
모든 항공기에 서비스 확대 중이며  현재 서비스 중인 항공기는 사전에 확인하시기 바랍니다. 더 자세한 내용은 진에어 홈페이지 [전체메뉴>공항/기내>기내서비스>기내 와이파이]에서 확인해주시기 바랍니다."
기내서비스,기내에서는 어떤 음료가 제공되나요?,기내에서는 기본적으로 시원한 생수가 무상으로 제공되며  국제선의 경우 각종 탄산 음료 및 커피  주스류 등을 유상으로 판매(지니 편의점) 하고 있습니다.
변경/환불,신용카드 승인취소는 언제까지 가능합니까?,당일 구매 후 전체 환불시에만 승인 취소가 가능합니다.
변경/환불,체크카드로 결제한 항공권 환불했는데 돈 언제 들어오나요?,환불 신청일로부터 영업일 기준 5~14일 정도 소요 됩니다. 단  카드사마다 소요되는 시간은 상이할 수 있습니다.
변경/환불,결제 당일 취소했는데 바로 환불이 되나요?,항공권을 결제하신 당일 취소하신 경우  즉시 승인취소 및 환불처리가 됩니다. 다만  당일 결제하신 전체 금액을 여러 시점으로 나누어 환불하신 경우 즉시 처리되지 않을 수 있으니  홈페이지 고객의 말씀(Q>A) 또는 고객센터로 문의주시기 바랍니다. (예 - 2인 구매 후 1인 취소하고 1시간 후 나머지 1인 취소  왕복편 구매 후 오는편 취소하고 1시간 후 가는편 취소)
변경/환불,국내선 항공권 환불규정에 대해 알려주세요.,"<국내선 항공권 환불 규정>
 
 국내선 항공권은 구매 당일 변경 및 취소 요청 시  변경 수수료 및 환불 위약금이 부과되지 않습니다.
 구매 익일부터는 변경 및 취소 시 항공편 출발시점에 기준하여 예약변경 수수료 및 환불위약금이 부과됩니다. (1인당 편도 기준)
 여행사에서 항공권을 구매하신 경우  변경/환불 규정이 상이할 수 있으니 해당 구매처로 문의 바랍니다.
 진에어 홈페이지/모바일App에서 구매하신 항공권은 홈페이지에서 직접 환불하실 수 있으며  일부 여정 및 일부 인원에 대한 환불도 가능합니다.
 예약(여정) 변경 시  잔여 좌석 중 기존 운임과 동일 또는 상위 운임에 한해 가능하며  하위 운임은 환불 후 재구매가 필요합니다. (단  변경 수수료는 별도 부과됨)
 공항에서 현금으로 구매하신 경우에는 해당 공항에서만 환불이 가능합니다. 현금 환불 시에 대리인이 환불금을 수령하는 경우에는 항공권 명의자의 위임장과 신분증 사본  대리인의 신분증을 지참하셔야 합니다.
 
 환불 관련 더 자세한 사항은 홈페이지 [예약>운임및수수료>국내선>수수료/위약금]에서 수수료/위약금 페이지를 확인해주시기 바랍니다."
변경/환불,환불수수료 면제 조건에 대해 알려주세요.,"국내선은 구매 당일 환불 요청을 하시는 경우에 한해 환불 수수료가 면제됩니다.
국내선 환불 규정 관련 더 자세한 사항은 홈페이지 [예약 > 운임 및 수수료>국내선] 페이지를 확인해주시기 바랍니다.
여행사 또는 기타 구매처 구매 항공권은 구매처로 문의하여 주시기 바랍니다."
변경/환불,탑승 날짜가 지났는데 항공권 환불 가능한가요?,"항공편 출발 이후에도 예약 변경이나 취소가 가능하나 운임 종류에 따라 일부 상이할 수 있습니다.
- 예약변경 및 환불수수료는 출발일까지 남은 기간 및 출발시간 경과 여부에 따라 차등 부과
- 환불 신청 기한은 항공권 유효기간 만료일로부터 30일 이내
- 구매당일 예약변경 또는 환불 시 수수료 미부과
- 운임의 종류에 따라 변경이나 환불 불가
- 항공편 출발 이전까지 예약 취소 없이 탑승하지 않거나  탑승수속 후 탑승하지 않는 경우 예약부도 (NO-SHOW)위약금 부과"
변경/환불,예약 변경이나 환불은 언제까지 가능한가요?,"항공편 출발 이후에도 예약 변경이나 취소가 가능하나 운임 종류에 따라 일부 상이할 수 있습니다.
- 예약변경 및 환불수수료는 출발일까지 남은 기간 및 출발시간 경과 여부에 따라 차등 부과
- 환불 신청 기한은 항공권 유효기간 만료일로부터 30일 이내
- 구매당일 예약변경 또는 환불 시 수수료 미부과
- 운임의 종류에 따라 변경이나 환불 불가
- 항공편 출발 이전까지 예약 취소 없이 탑승하지 않거나  탑승수속 후 탑승하지 않는 경우 예약부도 (NO-SHOW)위약금 부과"
변경/환불,스케줄이 변동되면 어떻게 연락이 오나요?,항공기 스케줄이 변경되는 경우  예약하실 때 입력하신 휴대폰 번호로 안내를 드리고 있습니다. (일부 여행사 발권 중 연락처 정보가 미기재되어 있는 경우 문자메시지가 미발송될 수 있습니다.)다만  현지 유심을 사용하거나  일부 해외지역의 경우 네트워크 환경에 따라 안내가 어려울 수 있으니 참고 부탁 드립니다.
임신부 고객,임산부인데 좌석 편의 제공이 되나요?,"임산부 고객은 항공기 출발 24시간 전까지 고객센터를 통한 신청 혹은 공항 수속 카운터에서 교통약자 지정석 신청이 가능합니다. (단, 다른 교통 약자로 인해 해당 좌석이 선점되어 있을 경우 배정이 불가합니다.)"
공동운항,공동운항이 무엇인가요?,2개 이상의 항공사가 비행기를 공동 운항하는 항공편을 뜻합니다. 이때 ‘운항사’는 항공기를 투입해 실제 운항하는 항공사이고  ‘참여사(판매사)’는 실제 운항은 하지 않고 자사 항공편명을 사용해 좌석을 판매하는 항공사를 말합니다.
